City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,dumas,35.8656,-101.9732,78.53,14,0,0.0,US,1681172877
182,quatre cocos,-20.2078,57.7625,77.11,85,100,8.95,MU,1681172877
183,ciudad real,39.0,-4.0,58.91,41,49,3.96,ES,1681172877
184,rochefort,45.9167,-1.0,53.85,93,100,5.01,FR,1681172877
185,issia,6.4922,-6.5856,75.56,84,100,2.71,CI,1681172877
186,husavik,66.0449,-17.3389,36.66,98,100,8.68,IS,1681172877
187,mar del plata,-38.0023,-57.5575,63.09,81,100,13.0,AR,1681172877
188,vardo,70.3705,31.1107,35.58,93,100,14.97,NO,1681172877
189,antalaha,-14.9003,50.2788,73.74,92,28,3.62,MG,1681172878
190,margate,51.3813,1.3862,46.87,73,9,5.01,GB,1681172878
191,lorengau,-2.0226,147.2712,80.58,80,98,4.54,PG,1681172878
192,xuddur,4.1213,43.8894,76.66,72,94,18.3,SO,1681172878
193,ostersund,63.1792,14.6357,37.62,93,100,12.66,SE,1681172878
194,tevaitoa,-16.7833,-151.5,82.09,73,85,11.65,PF,1681172878
195,karratha,-20.7377,116.8463,80.42,36,98,10.09,AU,1681172878
196,buala,-8.145,159.5921,78.96,87,100,5.28,SB,1681172879
197,udachnyy,66.4167,112.4,-1.55,58,78,6.51,RU,1681172879
198,juxtlahuaca,17.4294,-99.1467,79.63,60,88,7.09,MX,1681172879
199,dikson,73.5069,80.5464,-8.66,98,99,13.15,RU,1681172879
200,buraydah,26.326,43.975,61.25,68,53,10.16,SA,1681172716
201,camacha,33.0833,-16.3333,60.22,77,20,2.3,PT,1681172879
202,dalbandin,28.8947,64.4101,73.38,27,71,3.56,PK,1681172879
203,bredasdorp,-34.5322,20.0403,55.8,76,83,7.54,ZA,1681172879
204,ajuchitlan,20.7167,-100.0167,69.19,50,100,13.42,MX,1681172879
205,talnakh,69.4865,88.3972,-21.8,96,92,1.95,RU,1681172879
206,dibulla,11.2725,-73.3091,78.13,91,26,2.57,CO,1681172879
207,capinopolis,-18.6819,-49.5697,72.23,73,57,2.86,BR,1681172880
208,luderitz,-26.6481,15.1594,61.14,40,11,12.26,NA,1681172880
209,bandarbeyla,9.4942,50.8122,81.27,75,19,5.84,SO,1681172880
210,letterkenny,54.95,-7.7333,42.37,73,51,13.51,IE,1681172880
211,anori,-3.7728,-61.6442,75.0,97,97,2.01,BR,1681172880
212,niigata,37.9022,139.0236,64.92,36,0,12.66,JP,1681172811
213,mitsamiouli,-11.3847,43.2844,81.16,77,29,5.57,KM,1681172880
214,torbay,47.6666,-52.7314,34.88,85,20,4.61,CA,1681172880
215,nantucket,41.2835,-70.0995,48.25,78,0,17.27,US,1681172708
216,wamba,8.9333,8.6,81.59,56,100,3.31,NG,1681172880
